SrNo,Health Facility Name,Address,street,landmark,locality,pincode,landline_number,latitude,longitude,altitude,Facility Type,State_Name,District_Name,Taluka_Name,Block_Name
1672,Area-2,,,,,,,0,0,0,SubCentre,Delhi,North West,Saraswati Vihar,\N
2805,Area-2 (070607804),,,,,,,0,0,0,SubCentre,Delhi,Central,Civil Lines,\N
2832,Area-C,,,,,,,0,0,0,SubCentre,Delhi,West,Patel Nagar,\N
3991,ESI NAND NAGRI,Main Road,"Near Dtc Depot , Village Mandoli",,NAND NAGARI,110093,2259 1935,28.698661,77.304322,0,Dispensaries,Delhi,Shahdara,Seema Puri,\N
3992,CGHS Man Sarover Park,CGHS Wellness Centre,"Near DDA Flats, Mansarover park",,shahdara,110032,22583766,28.6754,77.301,0,Dispensaries,Delhi,Shahdara,Shahdara,\N
3995,CGHS DILSHAD GARDEN,"No. 87, Pkt B",Near Sarvodaya Vidyalaya,,Dilshad Garden,110095,22596489,28.68089993,77.31381322,0,Dispensaries,Delhi,Shahdara,Seema Puri,\N
3998,CGHS Dispensary Vivek Vihar,D-12 A,Chander Nagar,GZB,Vivek Vihar,110095,22143551,28.663626,77.318205,0,Dispensaries,Delhi,Shahdara,Vivek Vihar,\N
4003,Ashok Nursing Home,F3/15-16,Block F,,Krishna Nagar,110051,2202 3420,28.39343,77.17004,0,100-500 Bedded Hospital,Delhi,Shahdara,Vivek Vihar,\N
4004,Deepak Memorial Hospital,"5 & 6, Vikas Marg Extension",Institutional Area,,karkardooma,110092,22155555,28.39426,77.18045,0,100-500 Bedded Hospital,Delhi,Shahdara,\N,\N
4005,Deepak Memorial Hospital,"5 & 6, Vikas Marg Extension",Institutional Area,,karkardooma,110092,22155555,28.39426,77.18045,0,100-500 Bedded Hospital,Delhi,Shahdara,\N,\N
4027,Shri Ram Singh Hospital,"B-25-26, 26-A","Swaran Cinema Road, east Krishna nagar",,Vivek Vihar,110051,22003244,28.662347,77.286369,0,100-500 Bedded Hospital,Delhi,Shahdara,\N,\N
4029,Gupta Nursing Home,"25, raj block",naveen shahdara,west rhotas nagar,shahdara,110032,22322218,28.676087,77.287455,0,<100 Bedded Hospital,Delhi,Shahdara,Shahdara,\N
4030,Mahalaxmi Hospital,P-8/1449,main 100 feet Rd,durgapuri,shahdara,110093,22299416,28.689191,77.297272,0,<100 Bedded Hospital,Delhi,Shahdara,Shahdara,\N
4036,Delhi State Cancer Institute,"8, GTB Hospital Complex","East Nathu Colony, GTB Enclave",,Dilshad Garden,110095,22110303,28.686242,77.309087,0,100-500 Bedded Hospital,Delhi,Shahdara,Seema Puri,\N
4038,Institute of Human Behaviour & Allied Science,GTB Enclave,"Dilshad Garden, North East Delhi",,Dilshad Garden,110095,22114032,28.680133,77.306377,0,100-500 Bedded Hospital,Delhi,Shahdara,Seema Puri,\N
4039,Rajiv Gandhi Super Speciality Hospital,Tahirpur,Taharpur Village,,Dilshad Garden,110093,22312244,28.689129,77.316552,0,>500 Bedded Hospital,Delhi,Shahdara,Seema Puri,\N
4050,Parivar Seva Clinic,"X-41, Karkardooma Institutional Area","Near/Opposite to Central School, Mangalam Marg, A G C R Enclave,","Anand Vihar, New Delhi,",karkardooma,110092,22375975,28.653401,77.293802,0,<100 Bedded Hospital,Delhi,Shahdara,Vivek Vihar,\N
4074,jp memorial,"F189, NS Road, Block F",Dilshad Colony,,Dilshad Garden,110095,22354050,28.68471,77.329936,0,<100 Bedded Hospital,Delhi,Shahdara,Seema Puri,\N
4075,Jyoti Clinic And Maternity Home,"Shop No. 1480, East Jyoti Nagar","Main 100 Feet Rd, Durgapuri Extension, Durga Puri,",,shahdara,110093,22810860,28.691698,77.292308,0,<100 Bedded Hospital,Delhi,Shahdara,Shahdara,\N
4076,Kalyan Nursing Home,G-22,dilshad colony,,Dilshad Garden,110095,22351292,28.681355,77.328471,0,<100 Bedded Hospital,Delhi,Shahdara,Seema Puri,\N
4077,Kamaal Nursing Home,"790, Indira Chowk","Jafrabad, Shahdara",,shahdara,110053,2219 8308,28.67967,77.271682,0,<100 Bedded Hospital,Delhi,Shahdara,Shahdara,\N
4078,jeevanjyoti,"A/18, Gtb Chowk, Dilshad Garden","GTB Rd, Pocket B, Block B, Mcd Colony,",,Dilshad Garden,110092,22582719,28.681646,77.312744,0,<100 Bedded Hospital,Delhi,Shahdara,Seema Puri,\N
4079,Garg Hospital,"No. 8, AGCR Enclave","Opposite Karkardooma Court, Laxmi Nagar",,karkardooma,110092,4327 4444,28.653139,77.295132,0,<100 Bedded Hospital,Delhi,Shahdara,Vivek Vihar,\N
4080,Tondan hospital,D-229,"vivek vihar, delhi",,Vivek Vihar,110095,22152947,28.634973,77.071504,0,<100 Bedded Hospital,Delhi,Shahdara,Vivek Vihar,\N
4083,Red Cross Hospital Society Mat. Welfare and Child Care Hospital,"New Seema Puri,",near metro station,,Seemapuri,110095,22118752,28.67797,77.322638,0,<100 Bedded Hospital,Delhi,Shahdara,Seema Puri,\N
4084,shanti nursing home,"E-1, Panchsheel Garden",Naveen Shahdara,,shahdara,110032,22821629,28.677971,77.282614,0,<100 Bedded Hospital,Delhi,Shahdara,Shahdara,\N
4085,Sharda Medical Center,"Shop No-2,Krishna Market","Jhilmil Colony Industrial Area,",Jhilmil Colony,Jhilmil colony,110095,2216 2535,28.674618,77.311055,0,<100 Bedded Hospital,Delhi,Shahdara,Vivek Vihar,\N
4087,sugandha nursing home,"East Babarpur, Shop No.: 1E/2A","Tagore Gali, New Jaffrabad,",,shahdara,110032,22820430,28.687402,77.280256,0,<100 Bedded Hospital,Delhi,Shahdara,Shahdara,\N
4088,Pushpanjali Medical Centre,"A-14/15, Pushpanjali,",Vikas Marg Extn,,karkardooma,110092,223728,28.653916,77.308985,0,<100 Bedded Hospital,Delhi,Shahdara,Vivek Vihar,\N
4090,Surya hospital,"383/11-C, East Azad Nagar","Krishna Nagar,",,Vivek Vihar,110051,2200 2364,28.662973,77.28591,0,<100 Bedded Hospital,Delhi,Shahdara,Vivek Vihar,\N
4091,NGOststephen hospital,,,,,,23956123,28.693838,77.317,0,<100 Bedded Hospital,Delhi,Shahdara,\N,\N
4213,ESI Mayapuri-II,D-22,Facility centre,Near post office,Junk Market Mayapuri Phase-II,110064,011-28112417,28.61744429,77.11215002,0,Dispensaries,Delhi,New Delhi,Delhi Cantonment,\N
4221,CGHS Sarojini Nagar-I,Y-342-346,CGHS Dispensary Building,Near Arya Samaj Mandir,"XY Block, Sarojini Nagar",110023,011-24670555,28.57680465,77.20168771,0,Dispensaries,Delhi,New Delhi,Chanakya Puri,\N
4222,CGHS Moti-Bagh,Begam Zaidi Market,Begam Zaidi Market,Begam Zaidi Market,Moti-Bagh,110021,011-24670333,28.58430027,77.17796336,0,Dispensaries,Delhi,New Delhi,Chanakya Puri,\N
4223,President Estate,D-27,CGHS Dispensary Wing.,Near North Avenue Bus Stand,North Avenue,110004,011-23094777,28.61814915,77.20043543,0,Dispensaries,Delhi,New Delhi,Chanakya Puri,\N
4224,Family Planning Association of India,Plot no. 10,FPAI Bhawan,Near HDFC Bank,R.K.Puram Sec-4,110022,011-26711387,28.33201,77.10389,0,Community Health Center,Delhi,New Delhi,Vasant Vihar,\N
4228,Mohan Nursing Home,"40-A,",B-2,,Yamuna Vihar,110053,22913708,28.7028,77.2676,0,Community Health Center,Delhi,North-East,Yamuna Vihar,\N
4231,CGHS Yamuna Vihar,73-A,C-4,Near Bank of Maharashtra,Yamuna Vihar,110053,22565516,28.70167,77.28147222,0,Dispensaries,Delhi,North-East,Yamuna Vihar,\N
4235,CGHS Wellness Centre Sarojini Nagar-II,Q.NO. L-168-172,Block L,Near RBI Quarters Sarojini Nagar,Sarojini Nagar,110023,011-24670666,28.57641851,77.19088323,0,Dispensaries,Delhi,New Delhi,Chanakya Puri,\N
4237,ESI Seelampur,phase-3,Welcome Colony,near MCW Welcome,Seelampur,110053,22826829,28.6736124,77.2729263,0,Dispensaries,Delhi,North-East,Seelam Pur,\N
4238,CGHS Wellness Centre Nauroji Nagar,D 30,D-30,Ring Road,Nauroji Nagar,110029,011-26106127,28.57627017,77.201263,0,Dispensaries,Delhi,New Delhi,Vasant Vihar,\N
4239,CGHS Wellness Centre Nanakpura,WC-29,CGHS,Near Women Cell Crime Branch Nanakpura,Nanakpura,110021,011-24670444,28.58207227,77.16925537,0,Dispensaries,Delhi,New Delhi,Delhi Cantonment,\N
4240,CGHS Wellness Centre R.K.Puram Sec-3,"733, 735,",sec 3,Opposite NIHFW,R.K.Puram Sec-3,110022,011-26173911,28.5538766,77.17946352,0,Dispensaries,Delhi,New Delhi,Vasant Vihar,\N
4241,Institute of Liver and Biliary Sciences,D-1,Vasant Kunj,Chattarpur Metro Station,Vasant Kunj,110070,011-46300000,0,0,0,100-500 Bedded Hospital,Delhi,New Delhi,Vasant Vihar,\N
4244,Rural Community Health Care Centre,"RZ-A-116,",Road No. 4,Near Hotel Goodluck,Mahipalpur,110037,011-26782850,28.2188889,77.1883333,0,Dispensaries,Delhi,New Delhi,Vasant Vihar,\N
4245,ESI Dispensary Factory Road,Factory,Road,Opposite DTC Bus Depot,Sarojini Nagar,110023,011-24671333,28.57520995,77.19071814,0,Dispensaries,Delhi,New Delhi,Chanakya Puri,\N
4247,Delhi Govt.Dispensary Supreme Court,Tilak Marg,Supreme court of India complex,Opposite Post Office Supreme Court,Supreme Court of India,110001,011-23072634,28.6213333,77.2382222,0,Dispensaries,Delhi,New Delhi,Chanakya Puri,\N
4250,CGHS Wellness Centre Lodhi Road II,"Qtr.no. 1, 3, 5, 9",Block 4,Near NDMC School,Lodhi Colony,110003,011-24611442,28.5827484,77.225606,0,Dispensaries,Delhi,New Delhi,Chanakya Puri,\N
4253,CGHS Wellness Centre R.K.Puram Sec-6,CGHS Building,R.K.Puram,Near Mother Dairy,R.K.Puram sec-6,110022,011-26175490,28.56513011,77.1735662,0,Dispensaries,Delhi,New Delhi,Vasant Vihar,\N
4255,CGHS Wellness Centre Kali Bari,DIZ Area,Udyan marg,Near Birla Mandir,Kalibari Marg,110001,011-23743142,28.62889609,77.20007204,0,Dispensaries,Delhi,New Delhi,Chanakya Puri,\N
4262,Maternity & Gynae Hospital R.K.Puram sec-5,R.K.Puram,sec-5,Tamil Sangam Marg,R.K.Puram,110022,011-26174490,28.5655173,77.1768849,0,<100 Bedded Hospital,Delhi,New Delhi,Vasant Vihar,\N
4264,Palika Kendra Allopathic Dispensary,Ground Floor,Palika Kendra,,Cannaught Place,110001,011-23368548,28.62829263,77.21560709,0,Dispensaries,Delhi,New Delhi,Chanakya Puri,\N
4265,Community Hall Allopathic Dispensary,1st,floor,punchkuian Road,punchkuian Road,110001,011-23342957,28.64196636,77.20283462,0,Dispensaries,Delhi,New Delhi,Chanakya Puri,\N
4266,Baird Lane Allopathic Dispensary,Poly clinic complex,1st Floor,Oppsite Lady Harding Medical College,Bhagat Sing Marg,110001,011-23347603,28.63303017,77.21127199,0,Dispensaries,Delhi,New Delhi,Chanakya Puri,\N
4267,Babar Road Allopathic Dispensary,42,Ground Floor,Dispensary Complex,Babar Road,110001,011-23739285,28.62956974,77.23406657,0,Dispensaries,Delhi,New Delhi,Chanakya Puri,\N
4268,H.C.M. Lane Allopathic Dispensary,Dispensary,Complex,Janpath,Harish Chand Mathur Lane,110001,011-23717670,28.62189413,77.22093498,0,Dispensaries,Delhi,New Delhi,Chanakya Puri,\N
4269,Golf Link Allopathic Dispensary,Plot no. 213,Dispensary,Complex,Golf Link,110003,011-24652762,28.6003156,77.23065398,0,Dispensaries,Delhi,New Delhi,Chanakya Puri,\N
4270,Lodhi Road Allopathic Dispensary,Dispensary Complex,Aliganj,Near Jor Bagh Metro Station,Lodhi Road Aliganj,110003,011-24652278,28.58403076,77.21523246,0,Dispensaries,Delhi,New Delhi,Chanakya Puri,\N
4271,Kidwai Nagar Allopathic Dispensary,H.No.10,South,Market,East Kidwai Nagar,110023,011-24646094,28.57141558,77.21561996,0,Dispensaries,Delhi,New Delhi,Chanakya Puri,\N
4272,Sarojini Nagar Allopathic Dispensary,CWC,Complex,Near Post Office,Sarojini Nagar,110023,011-24678905,28.57643841,77.2011908,0,Dispensaries,Delhi,New Delhi,Chanakya Puri,\N
4274,Netaji Nagar Allopathic Dispensary,Netaji,Nagar,Netaji Nagar Market,Netaji Nagar,110023,011-24673479,28.57537555,77.18818523,0,Dispensaries,Delhi,New Delhi,Chanakya Puri,\N
4275,Bapudham Allopathic Dispensary,Bapu,Dham,Near Baratghar,Bapudham,110021,011-24101218,28.59512917,77.17729381,0,Dispensaries,Delhi,New Delhi,Chanakya Puri,\N
4277,Dharam Marg Dispensary Complex,2nd Floor,Dharam Marg,Palika Health Complex,Chankyapuri,110021,011-24121015,28.60235018,77.18640769,0,Dispensaries,Delhi,New Delhi,Chanakya Puri,\N
4280,ESI Dispensary Mayapuri Phase-I,B-309,Dda,Shopping Centre,ESI Dispy. Mp.1,110064,011-28114516,28.62744074,77.1219274,0,Dispensaries,Delhi,New Delhi,Delhi Cantonment,\N
4281,CGHS Wellness Centre Chankyapuri,"D-II/257,259",Vinay Marg,Yashwant Place,Chankyapuri,110021,011-24673777,28.58595817,77.19623654,0,Dispensaries,Delhi,New Delhi,Chanakya Puri,\N
4282,CGHS Wellness Centre Gole Market,CGHS Building,"DIZ Area, Sec.-II",Near CNG Pump,Gole Market,110003,011-23743810,28.63415143,77.20296282,0,Dispensaries,Delhi,New Delhi,Chanakya Puri,\N
4284,CGHS Dispensary Pandara Road,D-II/365-367,Pandara,Road,Pandara Road,110003,011-23385040,28.60343292,77.22795328,0,Dispensaries,Delhi,New Delhi,Chanakya Puri,\N
4286,CGHS Dispensary South Avenue,153,South Avenue,infront mother dairy,South Avenue,110011,011-23013490,28.608037,77.199793,0,Dispensaries,Delhi,New Delhi,Chanakya Puri,\N
4288,CGHS Dispensary Zakir Husain Road,"CGHS Building,","CGHS Building,",Near Indiagate,Dr. Z.H.Road,110003,011-23383724,28.60562905,77.23474841,0,Dispensaries,Delhi,New Delhi,Chanakya Puri,\N
4293,CGHS Dispensary Telegraph Lane,18-A,Telegraph Lane,Diwanchand Imangning centre,Near Bhartiya Vidya Bhawan,110001,011-23326601,28.62293163,77.22329866,0,Dispensaries,Delhi,New Delhi,Chanakya Puri,\N
4295,CGHS Dispensary Lodhi Road Aliganj,CGHS Building,Near Lodhi Road,CGHS Ayurvedic hospital,Lodhi Road,110003,011-24611538,28.58240008,77.21887995,0,Dispensaries,Delhi,New Delhi,Chanakya Puri,\N
4297,CGHS Dispensary Inderpuri,"Flat No. 647, 648",Krishi Kunj,Near Loha Mandi,Inder Puri,110012,011-25836573,28.63584219,77.14573298,0,Dispensaries,Delhi,New Delhi,Delhi Cantonment,\N
4298,CGHS Dispensary Naraina Vihar,C-Block,C-Block,Near community Centre,Naraina Vihar,110028,011-25778775,28.62481291,77.14345526,0,Dispensaries,Delhi,New Delhi,Delhi Cantonment,\N
4299,CGHS Dispensary R.K.Puram Sec-12,"Qr. 810, 818 ?›ƒ?ªƒ?? 825",Sector ?›ƒ?ªƒ?? XII,,R.K. Puram,110022,011-26170472,28.56547975,77.17690229,0,Dispensaries,Delhi,New Delhi,Vasant Vihar,\N
4301,CGHS Dispensary Sarojini Nagar market,"G ?›ƒ?ªƒ?? 150, 152,","154, 156",Sarojini Nagar Market,Sarojini Nagar,110023,011-24670777,28.57848469,77.19503963,0,Dispensaries,Delhi,New Delhi,Chanakya Puri,\N
4302,CGHS Dispensary R.K.Puram Sec-4,Q.No. 817-818,Sector ?›ƒ?ªƒ?? IV,Near R.K.Puram  Sec-5 Red Light,R.K.Puram,110022,011-26175132,28.56305879,77.17895613,0,Dispensaries,Delhi,New Delhi,Vasant Vihar,\N
4304,CGHS Dispensary Munirka,DDA,Flat,JNU Campus,Munirka,110067,011-26107983,28.5503091,77.17015435,0,Dispensaries,Delhi,New Delhi,Delhi Cantonment,\N
4374,CGHS Dispensary North Avenue,31,North Avenue,,North Avenue,110001,011-23094420,28.61891936,77.20028503,0,Dispensaries,Delhi,New Delhi,Chanakya Puri,\N
4375,CGHS Dispensary  Laxmibai Nagar,D-15,CGHS  Disp Building,Near  Navyug  School,Laxmibai Naga,110023,011-26874643,28.5753822,77.20505352,0,Dispensaries,Delhi,New Delhi,Chanakya Puri,\N
4376,CGHS Dispensary Nangal Raya,CGHS Disp,"D Block, Janak Puri",Near Sarvodaya Kanya Vidyalaya,Nangal Raya,110046,011-28521863,28.60871486,77.10637557,0,Dispensaries,Delhi,New Delhi,Delhi Cantonment,\N
4377,CGHS Dispensary R.K.Puram sec-2,CGHS  Disp Building,Sector  ?›ƒ?ªƒ??  II,OPP. Venkateshwar Temple,R.K.  Puram,110022,011-26175323,28.55,77.16,0,Dispensaries,Delhi,New Delhi,Vasant Vihar,\N
4378,CGHS Dispensary R.K.Puram Sec-8,CGHS Disp. Building,Sector _ VIII,,R.K. Puram,110022,011-26173988,28.57154602,77.16724848,0,Dispensaries,Delhi,New Delhi,Vasant Vihar,\N
4400,Dr. N. C. Joshi,"Opposite Ajmal Khan Park,",East Park Road,,Karol Bagh,110005,011-2362 2498,28.65332314,77.19939338,0,Sub-District Hospital,Delhi,Central,Karol Bagh,\N
4427,Goyal Medical Centre,E-2/8,E-2/8,Near DPS Vasant Vihar,Vasant Vihar,110057,011-26146940,28.58669444,77.05719444,0,<100 Bedded Hospital,Delhi,New Delhi,Vasant Vihar,\N
4428,Prem Chiktsa Kendra,Ring Road,SECTOR-12,NEAR CGHS DISPRNSARY,R.K.Puram,110022,011-26195636/37,28.57413889,77.17694444,0,<100 Bedded Hospital,Delhi,New Delhi,Vasant Vihar,\N
4429,Primus Super Specialty Hospital,"2,",Chandragupt Marg,,"Chanakyapuri,",110021,011-66206620,28.59277777,77.18169444,0,100-500 Bedded Hospital,Delhi,New Delhi,Chanakya Puri,\N
4430,NOVA IVI FERTILITY Centre,B2 / 1A,Africa Avenue,,Safdarjung enclave,110029,011-66193700,28.7086111,77.1855556,0,<100 Bedded Hospital,Delhi,New Delhi,Vasant Vihar,\N
4431,DR GROVERS NURSING HOME,ER,42,NEAR &#39;D&#39; PARK,INDERPURI,110012,,28.6285,77.14669444,0,<100 Bedded Hospital,Delhi,New Delhi,Delhi Cantonment,\N
4432,ESI Subji Mandi,15-Apr,Behind Birla Mills,"Near 15/4 Block, Near Nagia Park",Shakti Nagar,110007,1123845932,28.67757405,77.19637026,0,Dispensaries,Delhi,Central,Civil Lines,\N
4435,Harnam Singh Charitable Medical Centre,May-49,W.E.A,Karol Bagh,New Delhi,110005,011-25738059,28.63,77.22,0,Primary Health Centre,Delhi,Central,Karol Bagh,\N
4436,Rama Krishna Mission,"1, Arya Samaj Road",Karol Bagh,,New Delhi,110005,011-28757608,28.6392,77.2085,0,Primary Health Centre,Delhi,Central,Karol Bagh,\N
4437,DGD Old Sectretariat,Old Sectretaria,Delhi Vidhansabha complex,,Civil Line,110054,011-23890330,28.68459773,77.22336741,0,Dispensaries,Delhi,Central,Civil Lines,\N
4442,Jeewan Mala Hospital,67/1,"Dori Walan, Karol Bagh",Near Rohtak Road,Karolbagh,110005,23511474,28.65,77.2,0,100-500 Bedded Hospital,Delhi,Central,Karol Bagh,\N
4444,Kolmet Hospital,7-B,"Pusa Road, Karol Bagh",,Karolbagh,110005,1145099999,28.6435,77.1875,0,<100 Bedded Hospital,Delhi,Central,Karol Bagh,\N
4445,DGD Gulabi Bagh,Delhi Govt. Flats Complex,Gulabi Bagh,,Gulabi Bagh,110007,011-23654536,28.67478708,77.18971223,0,Dispensaries,Delhi,Central,Civil Lines,\N
4446,Grover Medical Centre,5091,"Hauz Quzi, Sirkiwalan",,Chandni Chowk,110006,23215625,28.65,77.23,0,<100 Bedded Hospital,Delhi,Central,Kotwali,\N
4447,DGD Tis Hazari,"Room No-141, 1st Floor",Tis Hazari Court Complex,Tis Hazari,Kashmiri Gate,110054,011-23950919,28.66640106,77.2199285,0,Dispensaries,Delhi,Central,Civil Lines,\N
4448,Sunder Lal Jain Eye Hospital,Motia Khan,"Sadar Thana Road, Motia Khan",,Nabi Karim Paharganj,110055,1123671231,28.648625,77.210031,0,<100 Bedded Hospital,Delhi,Central,Kotwali,\N
4449,DGD Trade and Tax ITO,Vyapar Bhawan,IP Estate,New Delhi,ITO,110002,011-23766307,28.62879,77.243444,0,Dispensaries,Delhi,Central,Kotwali,\N
4451,Navjoyti Eye Centre,90,Daryaganj,Hindi Park,Daryaganj,110002,23280018,28.64,77.24,0,<100 Bedded Hospital,Delhi,Central,Kotwali,\N
4452,UHC Balmiki Basti PSM MAMC,"Mualana Azad Medical College, PSM",Bahadur Shah Zafar Marg,,ITO,110002,011-23239271,28.63312623,77.24182098,0,Primary Health Centre,Delhi,Central,Kotwali,\N
4453,MC & W Teliwara,"MCW Center, 2558","Sarwan gali , teliwara",teliwara,teliwara,110006,23541611,28.66135689,77.21426311,0,M&CW Center,Delhi,Central,Kotwali,\N
4454,DGD Sachvilaya,Delhi Govt. Dispensary,Room No. 204-205,"IInd Floor, New Delhi-110001",Sachvilaya,110001,23392406,28.63003334,77.25128219,0,Dispensaries,Delhi,Central,Kotwali,\N
4455,Neera Eye Centre,92-B,Daryaganj,Opposite Hindi Park,Daryaganj,110002,1123270775,28.65,77.23,0,<100 Bedded Hospital,Delhi,Central,Kotwali,\N
4456,Lady Reading Heatlh School,Rani Jhansi Road,Chowk Nai Basti,"Sadar Bazar,",Bara Hindu Rao,110006,9958063819,28.66,77.2,0,Primary Health Centre,Delhi,Central,Kotwali,\N
4458,Pariwar Sewa Sanstha (NGO),"G-31,","Sector-3, Rohini",,ROHINI,110085,27510005,28.702199,77.101648,0,<100 Bedded Hospital,Delhi,North West,Rohini,\N
4459,Chhoto Devi Memorial Charitable Society (NGO),"H.No.4,","Village Nithari, Delhi-86",,,110086,9212971727,28.703696,77.063088,0,<100 Bedded Hospital,Delhi,North West,Rohini,\N
4460,NGO Lok Kalyan Samiti,"Sucheta Bhawan (Near ITO),  New-Delhi 110 002, ITO,","Vishnu Digamber Marg,","Vikram Nagar,",New Delhi,110002,23235505,28.63,77.22,0,<100 Bedded Hospital,Delhi,Central,Kotwali,\N
4461,Baba Girvar Das (NGO),"6/25, Main Barwala Road,","Begumpur, Delhi",,BEGAMPUR VILLAGE,110086,9555643231,28.724236,77.064688,0,<100 Bedded Hospital,Delhi,North West,Kanjhawla,\N
4462,NGO Parivar Sewa Clinic,"5439, Arya Samaj Road",Karol Bagh,Dev Nagar,"Karol Bagh, Delhi-5",110005,25736101,28.652,77.1857,0,Primary Health Centre,Delhi,Central,Kotwali,\N
4463,ESI Dispensary Mori Gate,Mori Gate,Kashmiri Gate,Near Tis Hazari,,110006,011-23974744,28.66,77.22,0,Dispensaries,Delhi,Central,Kotwali,\N
4465,Arora Nursing Home,BE-1,Shalimar Bagh,,Shalimar Bagh,110088,27488756,28.703486,77.163295,0,<100 Bedded Hospital,Delhi,North West,Saraswati Vihar,\N
4466,Upchar Nursing Home,"A-95,",Ashok Vihar Delhi,,ASHOK VIHAR,110052,27210012,28.688455,77.177,0,<100 Bedded Hospital,Delhi,North West,Saraswati Vihar,\N
4467,ESI Dispensary Subji Mandi,ESI Subji Mandi Dispensary,"Behind Birla Mills, Near-15/04 Block",Near Nagia Park,Subji Mandi,110007,23845932,28.67757405,77.19637026,0,Dispensaries,Delhi,Central,Civil Lines,\N
4468,CGHS Chandani Chowk,CGHS Dispensary no-8,Chandani Chowk,Near Moti Cinema,Chandani Chowk,110054,011-23866892,28.70802449,77.22408108,0,Primary Health Centre,Delhi,Central,Kotwali,\N
4469,Avantika Hospital,A-68,Sector-02,,Rohini,110085,27511118,28.7083,77.1075,0,<100 Bedded Hospital,Delhi,North West,Rohini,\N
4470,Swastik Maternity Center,"G-20/23-24,",Sector- 7  Rohini,,ROHINI,110085,9811520262,28.726381,77.082729,0,<100 Bedded Hospital,Delhi,North West,Rohini,\N
4471,Sunder Lal Jain Hospital,Ph-III,Ashok Vihar,,ASHOK VIHAR,110052,47030900,28.69197,77.1312,0,100-500 Bedded Hospital,Delhi,North West,Saraswati Vihar,\N
4472,ESI Dispensary Shastri Nagar,ESI Dispesnary Shastri Nagar,Shastri Nagar,Near Shastri Nagar Metro Station,"Shastri Nagar, Delhi",110052,23640492,28.67,77.19,0,Dispensaries,Delhi,Central,Kotwali,\N
4473,Capital Nursing Home and Hospital,C-3/7-A,Rana Pratap Bagh,,,110007,27450440,28.702155,77.161945,0,<100 Bedded Hospital,Delhi,North West,Saraswati Vihar,\N
4474,Spring Dales Medical Centre,"D-4,",Prashant Vihar Delhi,,ROHINI,110085,Dr. R. L. Verma,28.715741,77.135145,0,<100 Bedded Hospital,Delhi,North West,Rohini,\N
4475,Shrivastava Nursing Home,"D-12/151-152,","Sec-8, Rohini, Delhi",,ROHINI,110085,,28.7127,77.13805,0,<100 Bedded Hospital,Delhi,North West,Rohini,\N
4476,ESI Dispensary Inder Lok,ESI Dipsnesary Inder Lok,Behind Choti Masjid,Inderlok,"Inderlok , Delhi",110035,23657807,28.67231241,77.16752797,0,Dispensaries,Delhi,Central,Kotwali,\N
4477,Citizen Maternity Hospital,B-2/7,Ashok Vihar-II,Near Croma Mega Malls,Ashok Vihar,110052,27251400,28.688455,77.17575,0,<100 Bedded Hospital,Delhi,North West,Saraswati Vihar,\N
4479,Savitri Hospital,"E-505, 565",Shakurpur Delhi,,,110034,,28.684625,77.13385,0,<100 Bedded Hospital,Delhi,North West,Saraswati Vihar,\N
4480,Balak Ram Hospital,Balak Ram Hospital,Timarpur,,CIVIL LINE,110054,1123814204,28.705424,77.225293,0,<100 Bedded Hospital,Delhi,Central,Civil Lines,\N
4481,Savera Hospital,"3,Sainik Vihar,",Pitam Pura,,,110034,,28.68826667,77.12225,0,<100 Bedded Hospital,Delhi,North West,Saraswati Vihar,\N
4483,Sarthak Hospital,"Sector-7,",Rohini Delhi,,,110085,,28.709036,77.113085,0,<100 Bedded Hospital,Delhi,North West,Rohini,\N
4485,D.R. Maternity & Nursing Home,C-2/3,"Pragati Market, Ashok Vihar II",,Ashok Vihar,110052,27229394,28.695354,77.175836,0,<100 Bedded Hospital,Delhi,North West,Saraswati Vihar,\N
4486,Saroj Hospital,Sector-14 Extn.,Rohini Madhuban Chowk,,,110085,27903333,28.70601667,77.128516,0,<100 Bedded Hospital,Delhi,North West,Rohini,\N
4487,ESI Dispensary Chuna Mandi Paharganj,ESI Dispensary Chuna Mandi Paharganj,"Chuna Mandi, gali No.-10",Paharganj,"Pahargaj, New Delhi",110055,23580679,28.64279665,77.21011787,0,Dispensaries,Delhi,Central,Kotwali,\N
4489,CGHS Subji Mandi,23-Jan,Shakti Nagar,Shakti Nagar,New Delhi,110007,011-23845162,28.68029664,77.19767878,0,Dispensaries,Delhi,Central,Civil Lines,\N
4490,Santom Hospital,"D-5 & 6,",Prashant Vihar,,ROHINI,110085,2756 1024,28.713972,77.138861,0,<100 Bedded Hospital,Delhi,North West,Rohini,\N
4492,Dayal Hospital and Maternity Centre,Flat No. 57,"Vishram Chowk, Sector-03, Pocket H-33",Near Shriram Chowk,Rohini,110085,27514386,28.715,77.109,0,<100 Bedded Hospital,Delhi,North West,Rohini,\N
4493,Sai Drishti Maternity Centre,"G-1/63,",Sec-15 Rohini,,ROHINI,110085,,28.730919,77.127731,0,<100 Bedded Hospital,Delhi,North West,Rohini,\N
4494,Northern Railway Hospital,Railway Hospital,Chandni Chowk,Fathepuri Mode,Chandni Chowk,110006,9717631546,28.661212,77.222595,0,<100 Bedded Hospital,Delhi,Central,Kotwali,\N
